Feature name;Feature value
Model;M280CS2230-1TB-RB
Model;M280CS1030-1TB-RB
Model;CS1030
Model;M280CS2230-500
Model;SSD7CS900-500-RB
Model;M280CS1030-500-RB
Model;GeForce RTX4060
Model;GeForce RTX 4060 Ti 16GB XLR8 Gaming VERTO Overclocked Dual Fan DLSS 3
Model;GeForce RTX 4060 Ti 8GB OC XLR8 Gaming VERTO Dual Fan
Model;GEFORCE RTX 4070 12GB VERTO Dual Fan Edition DLSS 3
Model;GEFORCE RTX 4070 12GB XLR8 Gaming VERTO Edition DLSS 3
Model;4070 XLR8 VERTO OC
Model;GeForce RTX 4070 12GB XLR8 VERTO OC DLSS 3
Model;GeForce RTX 4070Ti
Model;GeForce RTX4080
Model;M22110PSVHS-XR-RB
Model;MU-PC1T0T/WW
Model;MU-PC500R/WW
Model;PM9A3
Model;SSD MZ-V8P2T0BW
Model;970 EVO PLUS
Model;MZ-V9P1T0BW
Model;PM893
Model;Portable SSD T7
Model;Portable SSD T7 Shield
Model;MU-PC2T0K/WW
Model;Radeon RX 7600
Model;11335-02-20G
Model;PULSE AMD Radeon RX 7800 XT 16GB
Model;RX 550 PULSE
Model;ZP2048GV3A002
Model;Firecuda 540
Model;IronWolf 125
Model;A55
Model;A60
Model;P34A80
Model;P34A60
Model;SLIM ACE A55
Model;SLIM S55
Model;S55
Model;UD80
Model;UD85
Model;UD90
Model;XPOWER XS70
Model;MS60
Model;SAT5210
Model;SNV3510-400G
Model;SNV3410
Model;WDS100T1R0B
Model;WDS500G1R0A
Model;WD Red SA500
Model;Blue SN570
Model;Blue SA510
Model;Green
Model;Red SN700
Model;WD_BLACK SN770
Model;WD Blue SA510
Model;WD Blue
Model;WD Blue SA510
Model;WD Green
Model;WD Red SN700
Model;Radeon R9 370
Model;GeForce RTX 3060 Twin Edge OC
Model;Solar RGB
Model;SB241Ybi
Model;Inquisitor 2
Model;TUF Gaming Combo
Model;LK-21
Model;Thock 75% Wireless Black
Model;Thock 75% Wireless Red
Model;Thock TKL Kailh BL RGB
Model;Thock TKL Kailh BR RGB
Model;Thock TKL Pudding Onyx White Blue
Model;Thock TKL Pudding Onyx White Brown
Model;Thock TKL Wireless Black
Model;Thock TKL Wireless Red
Model;Thock Wireless Brown
Model;Thock Wireless Red
Model;Comet RGB Outemu Blue
Model;Comet RGB Outemu Brown
Model;Meteor RGB Outemu Blue
Model;GK650K Omnis Kailh Blue RGB
Model;LC-STARR-TWO
Model;ROG Pugio II
Model;TUF Gaming M3
Model;Wheelmouse
Model;LM-STARR-ONE
Model;MC-M9.1 Biała
Model;Neptun
Model;POPZ RGB
Model;Reno
Model;Nitro XZ270UPbmiiphx
Model;Nitro VG240YEb
Model;Nitro VG240YE
Model;Nitro QG270H3
Model;Nitro VG270E
Model;Nitro XV275KV
Model;Nitro XV345CURV
Model;LW-2202
Model;SC-2402
Model;LW-2402
Model;SC-2702
Model;SC-2202
Model;22B2H/EU
Model;24G2SPU/BK
Model;M2470Swh
Model;24B2XDA
Model;24B2XDAM
Model;24B2XH/EU
Model;24G2SAE/BK
Model;24G2SPAE/BK
Model;24P2QM
Model;27G2SPU/BK
Model;Q27G2S
Model;27B2AM
Model;27B2DA
Model;27B2H/EU
Model;27G2SAE/BK
Model;27G2SPAE
Model;27P2Q
Model;27V5C/BK
Model;27V5CE/BK
Model;CU34G2XE/BK
Model;AG275QX
Model;AG275QXN/EU
Model;AG493QCX
Model;C24G2AE/BK
Model;C27G2E/BK
Model;CQ27G2S/BK
Model;CU34G2X/BK
Model;CU34P3CV
Model;Q24P2Q
Model;Q27G2E/BK
Model;Q27G2U/BK
Model;Q27P3QW
Model;Q27V5CW/BK
Model;Q32V4
Model;U27P2
Model;U27P2CA
Model;U32P2
Model;U34E2M
Model;U34G3XM/EU
Model;U34V5C/BK
Model;PA147CDV
Model;PA148CTV
Model;MQ16AH
Model;VY229HE
Model;VZ22EHE
Model;TUF GAMING VG24VQE
Model;VA24DQSB
Model;PA248CNV
Model;VA24DCP
Model;VA24DQ
Model;VA24EHF
Model;VG246H1A
Model;VY249HGE
Model;ProArt PA248QV
Model;PA248CRV
Model;PA279CV
Model;ROG Swift 360Hz PG27AQN
Model;TUF Gaming VG27AQA1A
Model;VA27AQSB
Model;VA27EQSB
Model;VG279Q1R
Model;TUF Gaming VG279Q3A
Model;VG27AQ
Model;VY279HGE
Model;Rog Strix XG27AQMR
Model;VG28UQL1A
Model;XG438QR
Model;CG32UQ
Model;MB14AC
Model;ROG Strix XG32AQ
Model;TUF Gaming VG249Q3A
Model;TUF Gaming VG328QA1A
Model;VG249Q1R
Model;ROG Strix XG259QN
Model;ZenScreen Ink
Model;BL2381T
Model;GW2475H
Model;EW2480
Model;GW2485TC
Model;SW240
Model;GW2480E
Model;GW2480T
Model;PD2500Q
Model;EX2710S
Model;GW2780E
Model;GW2780T
Model;GW2785TC
Model;PD2705Q
Model;PD2705UA
Model;SW272U
Model;GW2780
Model;PD2725U
Model;PD3205UA
Model;PD3220U
Model;PD3205U
Model;PD3420Q
Model;32UHD144-A
Model;LM24-H200
Model;P2424HT
Model;210-BBBG
Model;S2723HC
Model;S2721HGFA
Model;S2721QSA
Model;P3424WE
Model;U4021QW
Model;AW2723DF
Model;AW2724DM
Model;C2422HE
Model;E1715S
Model;Monitor E2020H 19.5 cali
Model;E2020H
Model;E2216HV
Model;E2222H
Model;E2223HV
Model;E2423H
Model;E2423HN
Model;E2723H
Model;G2422HS
Model;G3223Q
Model;P1917s
Model;P2222H
Model;P2222H-WOST
Model;P2422H
Model;210-AZYY
Model;210-BBBH
Model;P2423
Model;P2423D
Model;P2722H
Model;P2723D
Model;P3223DE
Model;P3223QE
Model;P3424WEB
Model;P1424H
Model;S2421H
Model;S2421HN
Model;S2422HG
Model;S2721DS
Model;S2721HN
Model;S2721HS
Model;S2722DC
Model;S2722DZ
Model;S3222DGM
Model;S3422DW
Model;S3422DWG
Model;SE2222H
Model;U2421E
Model;U2422HE
Model;U2722D
Model;U3023E
Model;3223QE
Model;U3223QZ
Model;U4924DW
Model;S3221QSA
Model;U3824DW
Model;AORUS G24F 2
Model;G27QC A
Model;M27Q X
Model;M28U Arm Edition
Model;M28U
Model;M32U
Model;M34WQ
Model;DS-D5043QE
Model;E24 G5
Model;Z24q G3
Model;E24m G4
Model;P27 G5
Model;E27m G4
Model;ProLite XU2494HSU-B6
Model;TW1023ASC-B1P
Model;TW1523AS-B1P
Model;ProLite X2283HSU-B1
Model;XB2283HSU-B1
Model;ProLite XU2293HS-B5
Model;ProLite XUB2294HSU
Model;T2234AS-B1
Model;PROLITE T2252MSC-B2
Model;XUB2293HS-B5
Model;XUB2395WSU-B1
Model;ProLite XU2493HSU-B6
Model;G-MASTER G2445HSU-B1
Model;ProLite X2483HSU-B5
Model;ProLite XU2492HSU-B6
Model;ProLite XU2293HS
Model;ProLite XUB2490HSUC
Model;ProLite XUB2492HSU
Model;ProLite XUB2493QSU
Model;ProLite XUB2494HSU-B6
Model;Prolite XUB2494HSU
Model;GB2470HSU-B5
Model;ProLite XUB2492HSC
Model;ProLite XUB2492HSN
Model;ProLite XU2492HSU-B1
Model;ProLite T2454MSC-B1AG
Model;ProLite XUB2495WSU-5
Model;G-MASTER GB2590HSU-B5
Model;PROLITE XUB2595WSU-B5
Model;XU2792UHSU-B1
Model;ProLite XUB2792UHSU
Model;ProLite XUB2792QSU
Model;G2740QSU-B1
Model;G2755HSU-B1
Model;G-MASTER GB2730HSU-B5
Model;G-Master GB2730QSU
Model;G-MASTER GB2766HSU-B1
Model;G-Master GB2770QSU-B5
Model;GB2790QSU-B5
Model;XU2792HSU-B1
Model;XU2792QSU-B1
Model;ProLite XU2794QSU-B6
Model;ProLite XUB2792HSC
Model;PROLITE XUB2792HSN-B5
Model;ProLite XUB2792HSU
Model;PROLITE XUB2792QSC-B5
Model;Prolite XUB2794QSU-B6
Model;Prolite T2735MSC-B3
Model;G-MASTER GB2870UHSU-B1
Model;XB3288UHSU-B5
Model;G-MASTER GB3271QSU-B1
Model;ProLite XUB3294QSU
Model;PROLITE XB3270QS-B5
Model;PROLITE XUB3294QSU-B1
Model;ProLite XUB3493WQSU
Model;G-Master G4380UHSU-B1
Model;G-Master GB2470HSU-W5
Model;G-Master GCB3280QSU
Model;G-MASTER G2745HSU-B1
Model;G-MASTER G2470HSU-B1
Model;G-MASTER G2770HSU-B1
Model;ProLite T2234MSC-B1S
Model;ProLite XU2792HSU-B6
Model;ProLite XUB3293UHSN
Model;ThinkVision M14
Model;M15
Model;ThinkVision T22i-30
Model;ThinkVision C24-40
Model;ThinkVision P24q-30
Model;ThinkVision T24mv-30
Model;E24-28
Model;E24q-20
Model;T24i-30
Model;63E0KAT4EU
Model;ThinkVision T25d-10
Model;T27h-30
Model;T27i-30
Model;T27p-30
Model;ThinkVision E27q-20
Model;ThinkVision T27h-2L
Model;ThinkVision E29w-20
Model;T32h-30
Model;T32p-30
Model;ThinkVision P32p-30
Model;ThinkCentre TIO Flex 27i
Model;S27i-30
Model;TIO Flex 22i
Model;55UH5N-E
Model;22SM3G
Model;49UH7J-H
Model;SE3223Q
Model;27M1C5200W
Model;G281UV
Model;Modern MD2712PW
Model;Modern MD272QPW
Model;Modern MD272XP
Model;PRO MP243W
Model;PRO MP243XP
Model;PRO MP273W
Model;MultiSync EA271F
Model;E328
Model;MultiSync E244F
Model;MultiSync E244FL
Model;MultiSync E274F
Model;MultiSync E274FL
Model;Multisync EA241F
Model;MultiSync EA272F
Model;221V8/00
Model;221V8A/00
Model;222V8LA
Model;242S9JAL
Model;242S9JML/00
Model;243V7QDAB/00
Model;243V7QDSB/00
Model;243V7QJABF
Model;241E1SC/00
Model;241V8L/00
Model;242E1GAJ/00
Model;242S1AE/00
Model;242V8LA/00
Model;24M1N3200ZA/00
Model;273V7QDAB/00
Model;273V7QDSB/00
Model;273V7QJAB
Model;276E8VJSB
Model;27E1N5500LA
Model;27E1N5600AE
Model;27M1C3200VL
Model;27M1C5500VL
Model;27M1F5500P
Model;271V8L/00
Model;271V8LA/00
Model;272V8LA
Model;275B1/00
Model;275E1S/00
Model;275E2FAE/00
Model;275S1AE/00
Model;276B1/00
Model;278E1A/00
Model;27M1N3200ZA/00
Model;27M1N3500LS/00
